Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
Teklist,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Laura Thompson,01/26/24,Services,New,1,,,396,60,11/03/24,
Tagopia,France,48.864716,2.349014,Telecommunications,Small (11-200),Emily Johnson,01/06/24,SAAS,New,1,,,1087,30,05/17/24,
Skyvu,Austria,48.210033,16.363449,Transportation & Logistics,Small (11-200),Laura Thompson,03/23/24,SAAS,New,1,,,590,30,03/22/25,
Divanoodle,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),John Smith,05/15/24,Custom solution,New,1,,,1668,90,07/17/24,
Meeveo,Spain,40.416775,-3.70379,Agriculture & Mining,Small (11-200),John Smith,02/25/24,SAAS,New,1,,,680,30,01/14/25,
Avamm,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Small (11-200),Jessica Martinez,05/25/24,SAAS,New,1,,,474,40,03/25/25,
Edgetag,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Jessica Martinez,03/04/24,Services,New,1,,,1850,20,10/05/24,
Photolist,Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Kevin Anderson,02/03/24,Custom solution,New,1,,,1007,90,11/27/24,
Tavu,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Kevin Anderson,04/11/24,Services,New,1,,,1345,90,05/22/24,
Jetwire,Germany,52.520008,13.404954,Manufacturing & Production,Small (11-200),Jessica Martinez,05/27/24,Services,New,1,,,1038,50,12/14/24,
Ntag,Portugal,38.736946,-9.142685,Education & Science,Small (11-200),David Wilson,04/03/24,SAAS,New,1,,,458,20,09/14/24,
Twinte,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Laura Thompson,05/12/24,Services,New,1,,,442,30,12/24/24,
Livepath,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Laura Thompson,04/27/24,SAAS,New,1,,,1997,50,04/11/25,
Meetz,Austria,48.210033,16.363449,Education & Science,Small (11-200),David Wilson,03/28/24,Custom solution,New,1,,,1717,20,05/23/24,
Gigaclub,Germany,52.520008,13.404954,Energy & Utilities,Small (11-200),David Wilson,01/03/24,SAAS,New,1,,,1640,30,11/30/24,
Yadel,Italy,41.902782,12.496366,Manufacturing & Production,Small (11-200),Emily Johnson,05/01/24,Services,New,1,,,855,70,02/23/25,
Eabox,France,48.864716,2.349014,Recreation & Sports,Small (11-200),Jessica Martinez,03/12/24,Services,New,1,,,1056,100,03/10/25,
Dabjam,Netherlands,52.370216,4.895168,Manufacturing & Production,Small (11-200),John Smith,02/27/24,Custom solution,New,1,,,966,10,06/13/24,
Blogpad,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Small (11-200),Jessica Martinez,02/27/24,Custom solution,New,1,,,344,40,10/11/24,
Topiczoom,Belgium,51.260197,4.402771,Recreation & Sports,Small (11-200),Michael Brown,05/29/24,Services,New,1,,,407,70,04/13/25,
Rhyloo,Portugal,38.736946,-9.142685,Energy & Utilities,Small (11-200),Kevin Anderson,01/21/24,Services,New,1,,,1965,40,01/17/25,
Mydo,Austria,48.210033,16.363449,Energy & Utilities,Small (11-200),Laura Thompson,01/07/24,Custom solution,New,1,,,1494,20,06/14/24,
Thoughtstorm,Germany,52.520008,13.404954,Energy & Utilities,Small (11-200),David Wilson,03/13/24,Custom solution,New,1,,,1837,10,04/06/24,
Topicware,Germany,52.520008,13.404954,Construction & Engineering,Small (11-200),John Smith,03/31/24,Services,New,1,,,1175,20,01/10/25,
Tekfly,France,48.864716,2.349014,Telecommunications,Small (11-200),David Wilson,03/09/24,Services,New,1,,,617,40,06/10/24,
Wikivu,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),David Wilson,01/28/24,Services,New,1,,,1538,50,10/14/24,
"Schroeder, Reichert and Hettinger",Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Kevin Anderson,01/06/24,SAAS,New,1,,,434,50,10/21/24,
"Gorczany, Kuphal and Mayert",Netherlands,52.370216,4.895168,Professional Services  & Consulting,Small (11-200),Laura Thompson,02/27/24,Custom solution,New,1,,,870,60,01/20/25,
"Dietrich, Boehm and Corkery",Italy,41.902782,12.496366,Education & Science,Small (11-200),Kevin Anderson,05/30/24,SAAS,New,1,,,1225,30,09/26/24,
"Murphy, Schuster and Kub",Switzerland,46.204391,6.143158,Government Administration Healthcare,Small (11-200),Laura Thompson,01/04/24,SAAS,New,1,,,1804,50,03/04/24,
Pouros-Schneider,Portugal,38.736946,-9.142685,Construction & Engineering,Small (11-200),Jessica Martinez,01/17/24,Custom solution,New,1,,,1063,60,02/25/24,
"Crist, Price and Johns",Austria,48.210033,16.363449,Government Administration Healthcare,Small (11-200),David Wilson,03/03/24,SAAS,New,1,,,341,10,02/18/25,
Littel LLC,Switzerland,46.204391,6.143158,Agriculture & Mining,Small (11-200),John Smith,03/14/24,Services,New,1,,,1454,20,05/13/24,
Wisozk-Thompson,France,48.864716,2.349014,Banking and Finance,Small (11-200),Laura Thompson,04/06/24,SAAS,New,1,,,263,80,09/26/24,
D'Amore Group,France,48.864716,2.349014,IT & IT Services,Small (11-200),Jessica Martinez,05/25/24,Custom solution,New,1,,,976,100,11/07/24,
Mitchell Group,Belgium,51.260197,4.402771,Government Administration Healthcare,Small (11-200),Sarah Davis,01/08/24,SAAS,New,1,,,1977,60,08/14/24,
Lowe-Grimes,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),Sarah Davis,02/14/24,Services,New,1,,,1940,50,10/06/24,
"O'Reilly, Harvey and Cassin",France,48.864716,2.349014,Telecommunications,Small (11-200),Sarah Davis,04/23/24,Custom solution,New,1,,,945,60,07/10/24,
"Hilll, Reynolds and Stamm",Italy,41.902782,12.496366,Recreation & Sports,Small (11-200),Jessica Martinez,01/11/24,SAAS,New,1,,,741,10,10/15/24,
"Schinner, Turcotte and Borer",France,48.864716,2.349014,Banking and Finance,Small (11-200),Jessica Martinez,03/21/24,Services,New,1,,,1130,30,02/26/25,
Bahringer Inc,Switzerland,46.204391,6.143158,Government Administration Healthcare,Small (11-200),Sarah Davis,02/14/24,Services,New,1,,,1047,20,01/28/25,
Green-Kunze,Austria,48.210033,16.363449,Transportation & Logistics,Small (11-200),John Smith,02/04/24,SAAS,New,1,,,1473,50,02/24/24,
"Huels, Cruickshank and Hayes",Germany,52.520008,13.404954,Manufacturing & Production,Small (11-200),Jessica Martinez,03/01/24,Services,New,1,,,1084,60,02/25/25,
Reynolds-Wiza,Portugal,38.736946,-9.142685,Telecommunications,Small (11-200),John Smith,04/10/24,Services,New,1,,,379,20,05/29/24,
McGlynn Group,Portugal,38.736946,-9.142685,Government Administration Healthcare,Small (11-200),Kevin Anderson,04/28/24,Services,New,1,,,351,20,11/24/24,
Gorczany-Legros,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),Emily Johnson,05/12/24,SAAS,New,1,,,1978,50,10/07/24,
"Gulgowski, Kub and Miller",Spain,40.416775,-3.70379,Banking and Finance,Small (11-200),John Smith,04/14/24,Services,New,1,,,754,40,04/03/25,
"Metz, Kub and Fahey",France,48.864716,2.349014,IT & IT Services,Small (11-200),Michael Brown,05/02/24,Services,New,1,,,1487,40,06/14/24,
Abshire LLC,Switzerland,46.204391,6.143158,Government Administration Healthcare,Small (11-200),Sarah Davis,05/08/24,Services,New,1,,,1932,60,07/30/24,
Lockman-Littel,Austria,48.210033,16.363449,Energy & Utilities,Small (11-200),Michael Brown,05/03/24,Services,New,1,,,1315,60,01/04/25,
Bradtke Inc,France,48.864716,2.349014,Telecommunications,Small (11-200),Laura Thompson,05/25/24,SAAS,New,1,,,1339,40,03/28/25,
Cartwright-Orn,France,48.864716,2.349014,Education & Science,Small (11-200),Laura Thompson,04/05/24,SAAS,New,1,,,244,50,06/30/24,
Littel-Hilpert,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Michael Brown,03/03/24,SAAS,New,1,,,229,40,05/08/24,
Franecki LLC,Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),Laura Thompson,01/05/24,SAAS,New,1,,,740,60,06/04/24,
Mayert-Renner,France,48.864716,2.349014,IT & IT Services,Small (11-200),Jessica Martinez,05/05/24,SAAS,New,1,,,433,30,02/09/25,
Emmerich-Padberg,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Laura Thompson,02/22/24,Custom solution,New,1,,,1073,30,12/25/24,
Grimes-Marvin,France,48.864716,2.349014,Retail & Distribution,Small (11-200),Emily Johnson,02/05/24,SAAS,New,1,,,242,30,06/21/24,
"Maggio, Wilderman and Mueller",Austria,48.210033,16.363449,IT & IT Services,Small (11-200),Laura Thompson,04/25/24,Custom solution,New,1,,,1884,20,10/18/24,
"Toy, Gottlieb and Veum",Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Laura Thompson,03/24/24,SAAS,New,1,,,223,90,04/28/24,
"Hoeger, Hyatt and Glover",Switzerland,46.204391,6.143158,Education & Science,Small (11-200),Laura Thompson,04/28/24,SAAS,New,1,,,1772,10,03/11/25,
"Ferry, Denesik and Satterfield",Italy,41.902782,12.496366,IT & IT Services,Small (11-200),Michael Brown,03/20/24,SAAS,New,1,,,820,30,12/23/24,
"Bruen, Quigley and Kling",Netherlands,52.370216,4.895168,Recreation & Sports,Small (11-200),Laura Thompson,01/15/24,SAAS,New,1,,,1241,60,12/24/24,
Gibson and Sons,Belgium,51.260197,4.402771,Banking and Finance,Small (11-200),Kevin Anderson,04/29/24,Custom solution,New,1,,,519,20,11/05/24,
Little and Sons,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Kevin Anderson,05/21/24,Services,New,1,,,706,40,05/16/25,
"O'Conner, Stracke and White",Portugal,38.736946,-9.142685,Telecommunications,Small (11-200),John Smith,04/28/24,Services,New,1,,,1461,40,12/11/24,
Smitham LLC,Switzerland,46.204391,6.143158,Energy & Utilities,Small (11-200),Sarah Davis,04/17/24,Services,New,1,,,1913,100,07/10/24,
"Dickinson, Jacobi and McKenzie",Italy,41.902782,12.496366,Telecommunications,Small (11-200),Laura Thompson,05/13/24,SAAS,New,1,,,1539,20,06/30/24,
Feest-Schoen,Portugal,38.736946,-9.142685,Energy & Utilities,Small (11-200),Laura Thompson,04/10/24,SAAS,New,1,,,1212,30,06/14/24,
"Hane, Kassulke and Hermiston",Portugal,38.736946,-9.142685,Professional Services  & Consulting,Small (11-200),Michael Brown,03/13/24,Services,New,1,,,1832,20,07/18/24,
"Lesch, Hauck and Bogan",Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Jessica Martinez,03/18/24,Custom solution,New,1,,,1553,20,08/04/24,
Johnson-McDermott,France,48.864716,2.349014,Entertainment & Media & Hospitality,Small (11-200),John Smith,04/20/24,Services,New,1,,,322,40,01/04/25,
"Dare, Lesch and Gorczany",France,48.864716,2.349014,Transportation & Logistics,Small (11-200),John Smith,01/10/24,Custom solution,New,1,,,1185,90,07/22/24,
Reilly Inc,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Jessica Martinez,05/20/24,Services,New,1,,,1747,20,07/16/24,
Hyatt Group,Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Michael Brown,03/22/24,SAAS,New,1,,,1286,20,02/12/25,
Waters Inc,Belgium,51.260197,4.402771,Manufacturing & Production,Small (11-200),Laura Thompson,01/04/24,Services,New,1,,,1735,90,02/09/24,
Balistreri-Berge,Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),David Wilson,05/04/24,SAAS,New,1,,,1184,50,01/30/25,
"Champlin, Altenwerth and Reichel",Switzerland,46.204391,6.143158,Education & Science,Small (11-200),Laura Thompson,02/18/24,SAAS,New,1,,,352,40,10/24/24,
Johnston-Bahringer,Italy,41.902782,12.496366,Telecommunications,Small (11-200),John Smith,01/11/24,Custom solution,New,1,,,1581,50,03/06/24,
Rath and Sons,Italy,41.902782,12.496366,Government Administration Healthcare,Small (11-200),David Wilson,05/24/24,SAAS,New,1,,,1367,40,03/29/25,
Langosh-Oberbrunner,Spain,40.416775,-3.70379,Banking and Finance,Small (11-200),Sarah Davis,03/05/24,Services,New,1,,,490,10,07/08/24,
Dickinson LLC,France,48.864716,2.349014,IT & IT Services,Small (11-200),Laura Thompson,01/23/24,SAAS,New,1,,,1627,40,03/11/24,
"Heathcote, Barrows and Doyle",Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Laura Thompson,01/31/24,Custom solution,New,1,,,716,50,08/16/24,
"Cummerata, Wyman and Conn",Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),John Smith,02/14/24,Services,New,1,,,1139,30,05/28/24,
"O'Reilly, Torphy and Jakubowski",Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Jessica Martinez,04/16/24,Custom solution,New,1,,,427,40,09/15/24,
Boyer LLC,Austria,48.210033,16.363449,Transportation & Logistics,Small (11-200),Michael Brown,04/18/24,Services,New,1,,,857,50,12/03/24,
"Bradtke, Predovic and Monahan",Portugal,38.736946,-9.142685,Telecommunications,Small (11-200),Laura Thompson,03/17/24,SAAS,New,1,,,1442,10,02/10/25,
Schuppe Inc,France,48.864716,2.349014,Banking and Finance,Small (11-200),David Wilson,03/07/24,Services,New,1,,,839,60,10/18/24,
Hand-Heller,Germany,52.520008,13.404954,Retail & Distribution,Small (11-200),Jessica Martinez,01/23/24,Custom solution,New,1,,,1660,80,12/02/24,
Prohaska-Jenkins,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),David Wilson,05/01/24,SAAS,New,1,,,576,80,02/25/25,
"Johnston, Hettinger and Luettgen",Austria,48.210033,16.363449,Recreation & Sports,Small (11-200),Laura Thompson,03/23/24,SAAS,New,1,,,1351,40,06/12/24,
"Rodriguez, Miller and Bradtke",Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Jessica Martinez,02/07/24,Custom solution,New,1,,,1579,70,01/03/25,
"Batz, Schamberger and Feeney",Italy,41.902782,12.496366,Retail & Distribution,Small (11-200),Sarah Davis,05/07/24,SAAS,New,1,,,731,20,10/05/24,
Ortiz-Christiansen,Portugal,38.736946,-9.142685,Government Administration Healthcare,Small (11-200),John Smith,05/18/24,SAAS,New,1,,,931,30,04/04/25,
Toy-Friesen,Austria,48.210033,16.363449,IT & IT Services,Small (11-200),Laura Thompson,01/23/24,SAAS,New,1,,,1237,30,07/17/24,
Sawayn and Sons,Italy,41.902782,12.496366,Government Administration Healthcare,Small (11-200),Kevin Anderson,04/23/24,SAAS,New,1,,,1716,20,11/17/24,
Turcotte-Hand,Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Jessica Martinez,01/17/24,Services,New,1,,,1382,30,11/26/24,
Bayer Group,Portugal,38.736946,-9.142685,Agriculture & Mining,Small (11-200),Jessica Martinez,05/09/24,Services,New,1,,,1194,100,12/02/24,
Leffler-Okuneva,Belgium,51.260197,4.402771,Banking and Finance,Small (11-200),Kevin Anderson,01/10/24,Services,New,1,,,1073,20,04/06/24,
"Little, Deckow and Kunde",Spain,40.416775,-3.70379,Government Administration Healthcare,Small (11-200),Michael Brown,05/11/24,Services,New,1,,,1102,20,07/07/24,
"Ortiz, Cartwright and Leffler",Italy,41.902782,12.496366,IT & IT Services,Small (11-200),Jessica Martinez,02/21/24,Services,New,1,,,1252,50,11/08/24,
Bernier and Sons,Belgium,51.260197,4.402771,Retail & Distribution,Small (11-200),Michael Brown,01/30/24,SAAS,New,1,,,786,70,11/27/24,
Rempel-Towne,Belgium,51.260197,4.402771,Professional Services  & Consulting,Small (11-200),Sarah Davis,03/20/24,Services,New,1,,,1292,80,02/14/25,
Sauer-Heaney,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Laura Thompson,01/09/24,Services,New,1,,,317,60,07/13/24,
Funk and Sons,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Laura Thompson,02/21/24,SAAS,New,1,,,958,30,09/04/24,
"Cruickshank, Cormier and Willms",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Sarah Davis,05/23/24,Services,New,1,,,1364,50,09/06/24,
"Roberts, Boehm and Swift",Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Jessica Martinez,04/03/24,Services,New,1,,,1348,20,05/14/24,
"Gerlach, Kiehn and Weber",Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Jessica Martinez,02/10/24,Custom solution,New,1,,,1811,10,11/09/24,
"Sawayn, Sanford and Skiles",Germany,52.520008,13.404954,IT & IT Services,Small (11-200),Sarah Davis,02/19/24,SAAS,New,1,,,1607,10,01/12/25,
"Harris, Schmidt and Kautzer",Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Laura Thompson,04/05/24,Services,New,1,,,1139,30,07/25/24,
Stamm-Rath,Italy,41.902782,12.496366,IT & IT Services,Small (11-200),Michael Brown,01/26/24,Services,New,1,,,487,50,09/13/24,
"Hamill, Koepp and Quigley",Italy,41.902782,12.496366,Manufacturing & Production,Small (11-200),Sarah Davis,04/17/24,Services,New,1,,,495,60,05/28/24,
Hodkiewicz-Powlowski,Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Laura Thompson,02/08/24,Services,New,1,,,344,40,04/01/24,
Moore Group,France,48.864716,2.349014,Education & Science,Small (11-200),Laura Thompson,04/11/24,SAAS,New,1,,,443,30,08/07/24,
Schumm-Auer,Spain,40.416775,-3.70379,Education & Science,Small (11-200),Emily Johnson,03/11/24,SAAS,New,1,,,718,40,02/03/25,
"Ward, Daugherty and Homenick",Austria,48.210033,16.363449,IT & IT Services,Small (11-200),Jessica Martinez,05/30/24,Custom solution,New,1,,,1917,90,10/25/24,
"Pollich, Robel and Friesen",Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Emily Johnson,01/23/24,Custom solution,New,1,,,1729,50,06/28/24,
"Weimann, Pacocha and McCullough",Italy,41.902782,12.496366,Construction & Engineering,Small (11-200),Jessica Martinez,05/04/24,Custom solution,New,1,,,1345,10,08/15/24,
"Champlin, Borer and Purdy",Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),Michael Brown,04/21/24,Services,New,1,,,1626,60,04/19/25,
"Erdman, Medhurst and Rowe",Italy,41.902782,12.496366,Telecommunications,Small (11-200),Michael Brown,05/22/24,SAAS,New,1,,,1592,50,07/23/24,
Gutmann-Hoppe,Belgium,51.260197,4.402771,Energy & Utilities,Small (11-200),Jessica Martinez,02/07/24,Custom solution,New,1,,,819,30,02/28/24,
Lakin-Bradtke,Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Small (11-200),Laura Thompson,02/28/24,SAAS,New,1,,,766,50,02/15/25,
"Ziemann, Bergstrom and Harber",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Jessica Martinez,01/09/24,Services,New,1,,,834,40,12/30/24,
Mitchell-Hauck,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Sarah Davis,03/29/24,SAAS,New,1,,,1662,30,03/23/25,
Labadie-Keeling,Germany,52.520008,13.404954,Recreation & Sports,Small (11-200),Michael Brown,01/13/24,SAAS,New,1,,,1819,60,08/28/24,
Borer Group,Austria,48.210033,16.363449,Agriculture & Mining,Small (11-200),Jessica Martinez,05/21/24,Services,New,1,,,1142,20,06/26/24,
"Goldner, Grant and Krajcik",Austria,48.210033,16.363449,Entertainment & Media & Hospitality,Small (11-200),Laura Thompson,02/21/24,Custom solution,New,1,,,1340,30,08/16/24,
Schinner and Sons,Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Emily Johnson,01/23/24,Services,New,1,,,797,40,06/12/24,
Kihn Inc,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Laura Thompson,05/09/24,SAAS,New,1,,,644,40,01/25/25,
Abbott-Wisoky,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Sarah Davis,05/19/24,Services,New,1,,,355,30,02/26/25,
"Strosin, Bahringer and Reilly",Germany,52.520008,13.404954,IT & IT Services,Small (11-200),John Smith,05/28/24,Custom solution,New,1,,,1741,50,10/18/24,
"McKenzie, Jerde and Altenwerth",Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Laura Thompson,01/31/24,SAAS,New,1,,,441,30,10/17/24,
"Runolfsdottir, Mills and Jacobi",Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Michael Brown,05/10/24,SAAS,New,1,,,1239,40,03/02/25,
"Tremblay, Thompson and Robel",Belgium,51.260197,4.402771,IT & IT Services,Small (11-200),Laura Thompson,05/11/24,SAAS,New,1,,,467,40,02/15/25,
